league_name,website,discovery_status,clubs_found_count
Connecticut Flag Football League CT Lady Matrix,https://www.ctflagfootball.com,fetch_not_attempted,0
BHC Flag Football Maryland,https://bhcyouth.com,fetch_not_attempted,0
Louisville Girls Flag Football,https://www.louisvillekyflag.com,fetch_not_attempted,0
New England Flag Football All-Girls,https://www.newenglandflagfootball.com,fetch_not_attempted,0
Fargo Park District Girls Flag Football (Vikings),https://www.fargoparks.com,fetch_not_attempted,0
CIF Girls Flag Football (California statewide),https://www.cif.org,fetch_not_attempted,0
Cali Queens SD,https://www.flagfootballfinder.com/organizations/cali-queens-sd,fetch_not_attempted,0
Vanguard Elite FFC,https://www.flagfootballfinder.com/flag-football-team/vanguard-elite-ffc,fetch_not_attempted,0
Desert Reign Flag Football,https://www.flagfootballfinder.com/organizations/desert-reign-flag-football,fetch_not_attempted,0
Michigan Inclusive Flag Football League (MIFFL),https://miffl.org,fetch_not_attempted,0
Long Island Rush Flag Football,,no_website,0
Carolina Panthers Challenger Flag Football,https://www.panthers.com/community/challenger-flag-football-home,fetch_not_attempted,0
